time_ms,altitude_m,velocity_ms,accel_bias_ms2,raw_accel_ms2,vertical_accel_ms2,raw_baro_m,motor_pos,motor_vel,motor_cmd_pos,roll_rad,pitch_rad,yaw_rad,Cd,desired_Cd,motor_current,battery_voltage,state,axis_error
0,0.06583946198225021,2.6921298503875732,0.12393944710493088,57.850128173828125,57.72618865966797,0.4539814889431,0.00012499094009399414,-0.00457760039716959,0,-0.07526350766420364,-0.028051111847162247,0.0077590555883944035,0.492000013589859,0.492000013589859,0.024935748428106308,7.677484035491943,2,0
11,0.09738814830780029,3.3221607208251953,0.12393944710493088,60.36741638183594,60.24347686767578,0.6472102999687195,0.00016492605209350586,0.04723374545574188,0,-0.07663421332836151,-0.028573019430041313,0.007292848080396652,0.492000013589859,0.492000013589859,0.024935748428106308,7.648360252380371,2,0
21,0.1336536556482315,3.9226572513580322,0.12393944710493088,60.82720947265625,60.703269958496094,0.6472102999687195,0.00011175870895385742,0.028353974223136902,0,-0.07792170345783234,-0.02881704829633236,0.006743341218680143,0.492000013589859,0.492000013589859,0.05861558020114899,7.659561634063721,2,0
31,0.17598958313465118,4.523842811584473,0.12393944710493088,59.859130859375,59.735191345214844,0.6472102999687195,-0.000023126602172851562,-0.01606639102101326,0,-0.07847784459590912,-0.027842316776514053,0.018437035381793976,0.492000013589859,0.492000013589859,0.06713557243347168,7.612515449523926,2,0
84,0.48636913299560547,7.606523513793945,0.12393944710493088,60.386375427246094,60.26243591308594,1.1212835311889648,-0.000023126602172851562,-0.01606639102101326,0,-0.0764477401971817,-0.02043217606842518,0.10754665732383728,0.492000013589859,0.492000013589859,0.06713557243347168,7.612515449523926,2,0
92,0.564886212348938,8.24627685546875,0.12393944710493088,64.18841552734375,64.0644760131836,1.1212835311889648,-0.0000940561294555664,0.01861606352031231,0,-0.06893803179264069,-0.020475467666983604,0.11258542537689209,0.492000013589859,0.492000013589859,0.04361846297979355,7.657321453094482,2,0
102,0.6505392789840698,8.869585037231445,0.12393944710493088,62.500732421875,62.376792907714844,1.1212835311889648,-0.0002453923225402832,-0.015433091670274734,0,-0.061138566583395004,-0.021543076261878014,0.11346741020679474,0.492000013589859,0.492000013589859,0.04361846297979355,7.619236946105957,2,0
112,0.7429713606834412,9.517200469970703,0.12393944710493088,64.14398193359375,64.0200424194336,1.4924203157424927,-0.000302731990814209,-0.06340738385915756,0,-0.057678163051605225,-0.02246888354420662,0.10576318949460983,0.492000013589859,0.492000013589859,0.05510362237691879,7.62819766998291,2,0
122,0.8422770500183105,10.164531707763672,0.12393944710493088,65.46477508544922,65.34083557128906,1.4924203157424927,-0.0003299713134765625,-0.020879467949271202,0,-0.05862092971801758,-0.023557152599096298,0.0975002869963646,0.492000013589859,0.492000013589859,0.05510362237691879,7.67076301574707,2,0
170,1.392721176147461,13.231738090515137,0.12393944710493088,65.30876159667969,65.18482208251953,2.6286678314208984,-0.0003299713134765625,-0.020879467949271202,0,-0.06736567616462708,-0.030845172703266144,0.04984823614358902,0.492000013589859,0.492000013589859,0.05510362237691879,7.67076301574707,2,0
