time_ms,altitude_m,velocity_ms,accel_bias_ms2,raw_accel_ms2,vertical_accel_ms2,raw_baro_m,motor_pos,motor_vel,motor_cmd_pos,roll_rad,pitch_rad,yaw_rad,Cd,desired_Cd,motor_current,battery_voltage,state,axis_error
0,0.06347153335809708,2.766511917114258,0.12759985029697418,65.2937240600586,65.16612243652344,0.3170013427734375,-0.00006198883056640625,0.017043832689523697,0,-0.031032882630825043,-0.025030236691236496,-0.051089465618133545,0.492000013589859,0.492000013589859,0.11380305141210556,7.377285003662109,2,0
58,0.08132652193307877,3.1549952030181885,0.12759985029697418,64.24179077148438,64.11418914794922,0.8116111159324646,-0.00006198883056640625,0.017043832689523697,0,-0.030023295432329178,-0.026087787002325058,-0.07117663323879242,0.492000013589859,0.492000013589859,0.11380305141210556,7.377285003662109,2,0
68,0.11632205545902252,3.7854959964752197,0.12759985029697418,63.92144012451172,63.79383850097656,0.8116111159324646,-0.00006198883056640625,0.017043832689523697,0,-0.023467790335416794,-0.02146102674305439,-0.06124192103743553,0.492000013589859,0.492000013589859,0.11380305141210556,7.377285003662109,2,0
117,0.37697452306747437,6.916501522064209,0.12759985029697418,64.39128875732422,64.26368713378906,1.6158814430236816,-0.00006198883056640625,0.017043832689523697,0,0.018351010978221893,0.00808416586369276,0.010272382758557796,0.492000013589859,0.492000013589859,0.11380305141210556,7.377285003662109,2,0
127,0.4552539587020874,7.67415189743042,0.12759985029697418,69.53070831298828,69.40310668945312,1.6158814430236816,-0.0011507272720336914,-0.011894233524799347,0,0.016247084364295006,0.007603866048157215,0.021161653101444244,0.492000013589859,0.492000013589859,0.04253334179520607,7.39744758605957,2,0
180,0.9448840618133545,11.37769603729248,0.12759985029697418,72.28231811523438,72.15471649169922,2.8604612350463867,-0.0011507272720336914,-0.011894233524799347,0,0.018121084198355675,0.008472477085888386,0.05642830207943916,0.492000013589859,0.492000013589859,0.04253334179520607,7.39744758605957,2,0
234,0.9905766248703003,11.676082611083984,0.12759985029697418,75.47188568115234,75.34428405761719,3.636920690536499,-0.0011507272720336914,-0.011894233524799347,0,0.019124316051602364,0.006465754006057978,0.04947502166032791,0.492000013589859,0.492000013589859,0.04253334179520607,7.39744758605957,2,0
289,1.7434329986572266,15.853405952453613,0.12759985029697418,76.47940826416016,76.351806640625,5.678994655609131,-0.0010839104652404785,-0.02049965225160122,0,0.02836882509291172,-0.07049699872732162,-0.023377584293484688,0.492000013589859,0.492000013589859,0.00011335499584674835,7.433291912078857,2,0
345,1.8184516429901123,16.212907791137695,0.12759985029697418,76.9819107055664,76.85430908203125,9.174686431884766,-0.0010839104652404785,-0.02049965225160122,0,0.029719416052103043,-0.08559119701385498,-0.03234647586941719,0.492000013589859,0.492000013589859,0.00011335499584674835,7.433291912078857,2,0
395,2.7332961559295654,19.946380615234375,0.12759985029697418,73.56363677978516,73.43603515625,14.609460830688477,-0.0010614395141601562,-0.010687237605452538,0,0.02541264146566391,-0.23519188165664673,-0.0546283945441246,0.492000013589859,0.492000013589859,-0.014322555623948574,7.426570892333984,2,0
452,2.8541922569274902,20.37874412536621,0.12759985029697418,71.76178741455078,71.63418579101562,17.442358016967773,-0.0010614395141601562,-0.010687237605452538,0,0.017999103292822838,-0.2601519227027893,-0.04760599136352539,0.492000013589859,0.492000013589859,-0.014322555623948574,7.426570892333984,2,0
506,4.045239448547363,23.835433959960938,0.12759985029697418,63.437950134277344,63.31034851074219,24.4238338470459,-0.0009040236473083496,0.010248891077935696,0,-0.08693674206733704,-0.40587037801742554,0.03468216210603714,0.492000013589859,0.492000013589859,-0.0400237962603569,7.444493770599365,2,0
